layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
96,Linear,0.04821692707609637,768,3072,4.0,3.42568188325947,6.909801660364656,0.9801600932139445,True,104.00608825683594,dense,7.225113873890265,3.6926287954803785,2.0170587625579857,atom.vision.vit.encoder.layer.4.output.dense,768,4927.524536088109,768,68,0,1,0.29415713584782244,104.00608825683594,47.377270106726094,success,10.19833755493164,0.38904106616973877,,0,104.00608825683594,14.321362495422363
103,Linear,0.057687020977694736,768,768,1.0,6.12446283438623,10.143971670983735,0.8938243726641711,True,45.32146072387695,dense,10.278029376631881,3.2751011176702307,1.6563038988545555,atom.vision.vit.encoder.layer.5.attention.attention.query,768,1884.0877144111475,768,14,2,1,1.369570301252126,45.32146072387695,41.57164584544256,success,6.732121467590332,3.574921720428392e-05,under-trained,2,45.32146072387695,20.257999420166016
104,Linear,0.063328288677313,768,768,1.0,4.270068054096642,7.000887229005267,0.9031190337424988,True,43.60395812988281,dense,7.330213906054056,3.277002152032242,1.6395259139461995,atom.vision.vit.encoder.layer.5.attention.attention.key,768,1892.3529956800053,768,23,0,1,0.68185632422672,43.60395812988281,43.39865179310709,success,6.603329181671143,0.0016528083942830563,,0,43.60395812988281,14.180360794067383
105,Linear,0.09094638642697439,768,768,1.0,7.683978636117832,10.791528683153189,0.9041749724205139,True,25.37578010559082,dense,10.955037372431857,3.165276678731155,1.4044194022649419,atom.vision.vit.encoder.layer.5.attention.attention.value,768,1463.1089897001932,768,13,0,1,1.8538021305099004,25.37578010559082,57.657694999407695,success,5.037437915802002,0.0005871817120350897,under-trained,1,25.37578010559082,13.820926666259766
108,Linear,0.03833315449097163,768,768,1.0,4.878570062959925,7.361249300887061,0.9423741809510265,True,32.27712631225586,dense,7.412193359021513,3.156862640067361,1.5088948617908842,atom.vision.vit.encoder.layer.5.attention.output.dense,768,1435.035484336946,768,40,1,1,0.6132557731748017,32.27712631225586,44.45982800495013,success,5.681296348571777,0.00043257520883344114,,1,32.27712631225586,6.618115425109863
111,Linear,0.03105146049116342,768,3072,4.0,3.027000257953314,8.085784071662866,0.9326454424105579,True,469.05108642578125,dense,8.119843243311104,3.8413205727814748,2.671220146221598,atom.vision.vit.encoder.layer.5.intermediate.dense,768,6939.378445327282,768,89,0,1,0.21486159762028578,469.05108642578125,14.794504577755225,success,21.6575870513916,0.40704071521759033,,0,469.05108642578125,18.6903076171875
114,Linear,0.028798933977550845,768,3072,4.0,3.738304832748379,7.932549535316435,0.990242898519115,True,132.42327880859375,dense,8.116000593471835,3.776373255448793,2.121964336836724,atom.vision.vit.encoder.layer.5.output.dense,768,5975.486305788159,768,73,0,1,0.32049433899757873,132.42327880859375,45.124137988043636,success,11.50753116607666,0.37023675441741943,,0,132.42327880859375,15.724323272705078
121,Linear,0.07353046883992076,768,768,1.0,2.317466860751771,3.7676672106932423,0.9048184567826884,True,42.24444580078125,dense,4.644312203410322,3.262266835539085,1.6257696170339349,atom.vision.vit.encoder.layer.6.attention.attention.query,768,1829.2237671279022,768,163,1,1,0.1031919686196654,42.24444580078125,43.300929446542135,success,6.49957275390625,6.69780929456465e-05,,1,42.24444580078125,3.220442533493042
122,Linear,0.045716408082957904,768,768,1.0,3.944052360084981,6.23842095565264,0.9161127324241425,True,38.17057800292969,dense,6.6688304985657405,3.2676914405822024,1.5817287363594288,atom.vision.vit.encoder.layer.6.attention.attention.key,768,1852.21518597713,768,33,1,1,0.5124937338544335,38.17057800292969,48.524682697625586,success,6.178234100341797,0.00036445664591155946,,1,38.17057800292969,10.78581428527832
123,Linear,0.05850907565351127,768,768,1.0,7.6715912740688665,10.55238304825068,0.9183003550010729,True,23.741832733154297,dense,10.695974135462402,3.178714337002254,1.3755142409527634,atom.vision.vit.encoder.layer.6.attention.attention.value,768,1509.0872053661976,768,15,1,1,1.7225974598114295,23.741832733154297,63.56237205137209,success,4.872559070587158,0.00026624140446074307,under-trained,1,23.741832733154297,12.417430877685547
126,Linear,0.05050501421870124,768,768,1.0,4.9666023502309,7.354295322576571,0.9537601367564913,True,30.251699447631836,dense,7.393126818974115,3.172233668409537,1.480749777004931,atom.vision.vit.encoder.layer.6.attention.output.dense,768,1486.7353522943492,768,56,0,1,0.5300595351477259,30.251699447631836,49.145515109589454,success,5.500154495239258,0.0017840438522398472,,0,30.251699447631836,5.715451717376709
129,Linear,0.0289248680651758,768,3072,4.0,3.1369569069667307,8.42224798098111,0.9385403755390583,True,484.0013427734375,dense,8.461539872742668,3.8483484230758145,2.684846566516903,atom.vision.vit.encoder.layer.6.intermediate.dense,768,7052.586525857449,768,71,0,1,0.25361012615387846,484.0013427734375,14.571419338311188,success,22.000030517578125,0.4250476062297821,,0,484.0013427734375,20.508928298950195
132,Linear,0.02085124151767881,768,3072,4.0,4.213985870486006,8.470031378937518,0.9999872159335653,True,102.32481384277344,dense,8.73755090680537,3.841548922885266,2.0099809632158676,atom.vision.vit.encoder.layer.6.output.dense,768,6943.028099000454,768,82,0,1,0.3549253644607637,102.32481384277344,67.85282902804711,success,10.115572929382324,0.3684345781803131,,0,102.32481384277344,17.119157791137695
139,Linear,0.06655443033487474,768,768,1.0,2.427283484454033,3.8522036423059767,0.9116038133925292,True,38.64053726196289,dense,4.714505784747821,3.243177639064829,1.5870431562601144,atom.vision.vit.encoder.layer.7.attention.attention.query,768,1750.5625731742261,768,155,0,1,0.11464216825367884,38.64053726196289,45.30378450243369,success,6.216151237487793,0.000988256186246872,,1,38.64053726196289,3.3219425678253174
140,Linear,0.043140889298842994,768,768,1.0,4.063671252363697,6.498542383134159,0.9270121369015385,True,39.735633850097656,dense,6.730333726975992,3.2474764027576533,1.5991801451345704,atom.vision.vit.encoder.layer.7.attention.attention.key,768,1767.976152744084,768,38,0,1,0.49699310443590206,39.735633850097656,44.49346798930549,success,6.3036208152771,0.0013128267601132393,,0,39.735633850097656,9.093461990356445
141,Linear,0.07495101354948885,768,768,1.0,6.955337185346543,10.053220201531376,0.9261801639990693,True,27.886661529541016,dense,10.124705572592353,3.212725469334218,1.445396525521643,atom.vision.vit.encoder.layer.7.attention.attention.value,768,1632.0199726152714,768,21,0,1,1.2995611162302758,27.886661529541016,58.52331842900711,success,5.280782222747803,0.001712801749818027,under-trained,0,27.886661529541016,11.734659194946289
144,Linear,0.037541726848164036,768,768,1.0,5.720336414810748,8.429193145543548,0.9614632747118275,True,29.754215240478516,dense,8.445578563858282,3.2029657870926758,1.4735485003502928,atom.vision.vit.encoder.layer.7.attention.output.dense,768,1595.7534318130586,768,58,1,1,0.619810536526651,29.754215240478516,53.631171883241215,success,5.454742431640625,0.0004816905711777508,,1,29.754215240478516,5.817975044250488
147,Linear,0.04111224184280132,768,3072,4.0,3.3089382936807517,8.882399712946729,0.9549896348351989,True,483.4654846191406,dense,8.88772296039433,3.840529181056799,2.6843654745420613,atom.vision.vit.encoder.layer.7.intermediate.dense,768,6926.744699642062,768,92,0,1,0.240723457700392,483.4654846191406,14.327278616587781,success,21.98784828186035,0.4163668751716614,,0,483.4654846191406,17.233806610107422
150,Linear,0.031555353213414905,768,3072,4.0,5.196763284028592,10.161469238814352,1.0076864765317999,True,90.22892761230469,dense,10.286521192590708,3.9055579956625572,1.955345795727117,atom.vision.vit.encoder.layer.7.output.dense,768,8045.591821700335,768,84,0,1,0.4579044148302971,90.22892761230469,89.16865172409676,success,9.49889087677002,0.3660527467727661,,0,90.22892761230469,19.548259735107422
157,Linear,0.06138965218706183,768,768,1.0,2.5243833974261083,3.9293994887215766,0.9181844946128789,True,36.0228385925293,dense,4.803749527624717,3.2507995078959198,1.5565779321508926,atom.vision.vit.encoder.layer.8.attention.attention.query,768,1781.556121959985,768,144,0,1,0.12703194978550902,36.0228385925293,49.45629471658178,success,6.001903057098389,0.001057894784025848,,0,36.0228385925293,3.6728615760803223
158,Linear,0.05650429256892553,768,768,1.0,4.756074316679749,7.474940246598831,0.9358615287815103,True,37.29595947265625,dense,7.601720572831017,3.253174938651189,1.5716617842542762,atom.vision.vit.encoder.layer.8.attention.attention.key,768,1791.327275291989,768,20,0,1,0.8398837500636991,37.29595947265625,48.03006279018807,success,6.107041835784912,0.0011596818221732974,,0,37.29595947265625,11.073077201843262
159,Linear,0.06513521208208722,768,768,1.0,6.593731317006071,9.864660245438541,0.9383585275487693,True,31.3376522064209,dense,9.891808823769058,3.224146286982254,1.4960664563319905,atom.vision.vit.encoder.layer.8.attention.attention.value,768,1675.5071558413372,768,17,0,1,1.3566791212553775,31.3376522064209,53.46626303734508,success,5.598004341125488,0.0017682419857010245,under-trained,0,31.3376522064209,11.186500549316406
162,Linear,0.07496593420965036,768,768,1.0,5.700305161794333,8.439756272209747,0.9610493228133253,True,30.239856719970703,dense,8.471479377208096,3.2185500478744036,1.4805797290952567,atom.vision.vit.encoder.layer.8.attention.output.dense,768,1654.0553862870888,768,68,0,1,0.5699957251386454,30.239856719970703,54.697857916593044,success,5.499077796936035,0.0015153751010075212,,0,30.239856719970703,5.790518760681152
165,Linear,0.027122668847135878,768,3072,4.0,3.613197748321583,9.868840772405829,0.9631512246029815,True,538.6807861328125,dense,9.869945485542955,3.85197679424535,2.731331485244654,atom.vision.vit.encoder.layer.8.intermediate.dense,768,7111.755122371018,768,92,0,1,0.27244469865327103,538.6807861328125,13.202169643781586,success,23.209497451782227,0.32677268981933594,,0,538.6807861328125,16.512109756469727
